select,count
amazing,14824
thanks,12129
awesome,8656
wonderful,7204
informative,7058
deep,6769
entertaining,6656
hilarious,4608
insightful,4448
inspiring,4320
nice,3752
refreshing,3459
engaging,2910
relevant,2885
unique,2621
valuable,2371
sad,1667
fascinating,1409
original,1297
inspirational,1289
lovely,1047
boring,1043
very interesting,967
very good,904
would recommend,732
exciting,678
loved this,655
intriguing,535
motivating,455
thought-provoking,390
captivating,320
surprising,289
frustrating,244
confusing,224
dull,221
timeless,166
very useful,163
satisfying,143
mundane,141
stimulating,137
cheap,130
promising,123
well-researched,123
cheesy,117
waste of time,115
not good,110
shallow,109
thrilling,105
vague,100
irritating,100
memorable,88
useless,87
misleading,83
pointless,80
gripping,71
provocative,68
superficial,67
exhausting,66
sophisticated,65
tedious,64
powerfull,63
not bad,49
flawed,48
intricate,45
not boring,43
very bad,35
simplistic,34
hate this,33
nothing new,33
instructive,33
would not recommend,32
worthless,30
mind-blowing,28
no good,26
not interesting,24
was very good,21
convoluted,20
not very good,19
unfocused,15
unoriginal,15
persuasive,13
exhilarating,13
overrated,13
not relevant,12
ambiguous,11
not too bad,10
uninspiring,6
overhyped,5
nonesense,4
not informative,3
was useful,2
not very interesting,2
dissapointing,2
not very useful,2
not insightful,1
not very relevant,1
nothing valuable,1
not useful,1
